KC_NO                , XXXXXXX                          , -------
KC_LOCKING_NUM_LOCK  , KC_LNUM                          , Num Lock                    
KC_LOCKING_SCROLL_LOCK,KC_LSCR                          , Scroll Lock                 
KC_KP_COMMA          , KC_PCMM                          , KP ,                           
KC_KP_EQUAL_AS400    ,                                  , KP =
KC_INTERNATIONAL_1   , KC_INT1                          , Intl 1                     
KC_INTERNATIONAL_2   , KC_INT2                          , Intl 2                     
KC_INTERNATIONAL_3   , KC_INT3                          , Intl 3                     
KC_INTERNATIONAL_4   , KC_INT4                          , Intl 4                     
KC_INTERNATIONAL_5   , KC_INT5                          , Intl 5                     
KC_INTERNATIONAL_6   , KC_INT6                          , Intl 6                     
KC_INTERNATIONAL_7   , KC_INT7                          , Intl 7                     
KC_INTERNATIONAL_8   , KC_INT8                          , Intl 8                     
KC_INTERNATIONAL_9   , KC_INT9                          , Intl 9                     
KC_LANGUAGE_1        , KC_LNG1                          , Lng 1                          
KC_LANGUAGE_2        , KC_LNG2                          , Lng 2                          
KC_LANGUAGE_3        , KC_LNG3                          , Lng 3                          
KC_LANGUAGE_4        , KC_LNG4                          , Lng 4                          
KC_LANGUAGE_5        , KC_LNG5                          , Lng 5                          
KC_LANGUAGE_6        , KC_LNG6                          , Lng 6                          
KC_LANGUAGE_7        , KC_LNG7                          , Lng 7                          
KC_LANGUAGE_8        , KC_LNG8                          , Lng 8                          
KC_LANGUAGE_9        , KC_LNG9                          , Lng 9                          
KC_ALTERNATE_ERASE   , KC_ERAS                          , Alternate Erase                     
KC_SYSTEM_REQUEST    , KC_SYRQ                          , SysReq/Attention                    
KC_CANCEL            , KC_CNCL                          , Cancel                              
KC_CLEAR             , KC_CLR                           , Clear                               
KC_PRIOR             , KC_PRIR                          , Prior                               
KC_RETURN            , KC_RETN                          , Return                              
KC_SEPARATOR         , KC_SEPR                          , Separator                           
KC_OUT               ,                                  , Out                                 
KC_OPER              ,                                  , Oper                                
KC_CLEAR_AGAIN       , KC_CLAG                          , Clear/Again                         
KC_CRSEL             , KC_CRSL                          , CrSel/Props                         
KC_EXSEL             , KC_EXSL                          , ExSel                               
KC_LEFT_CTRL         , KC_LCTL                          , Left Control                        
KC_LEFT_SHIFT        , KC_LSFT                          , Left Shift                          
KC_LEFT_ALT          , KC_LALT|KC_LOPT                  , Left Alt 
KC_LEFT_GUI          , KC_LGUI|KC_LCMD|KC_LWIN          , Left GUI 
KC_RIGHT_CTRL        , KC_RCTL                          , Right Control                       
KC_RIGHT_SHIFT       , KC_RSFT                          , Right Shift                         
KC_RIGHT_ALT         , KC_RALT|KC_ROPT|KC_ALGR          , Right Alt
KC_RIGHT_GUI         , KC_RGUI|KC_RCMD|KC_RWIN          , Right GUI 
KC_SYSTEM_POWER      , KC_PWR                           , Sys Power Down                   
KC_SYSTEM_SLEEP      , KC_SLEP                          , Sys Sleep                        
KC_SYSTEM_WAKE       , KC_WAKE                          , Sys Wake                         
KC_AUDIO_MUTE        , KC_MUTE                          , Mute                                
KC_AUDIO_VOL_UP      , KC_VOLU                          , Volume Up                           
KC_AUDIO_VOL_DOWN    , KC_VOLD                          , Volume Down                         
KC_MEDIA_NEXT_TRACK  , KC_MNXT                          , Next Track                          
KC_MEDIA_PREV_TRACK  , KC_MPRV                          , Prev Track                      
KC_MEDIA_STOP        , KC_MSTP                          , Stop Track                          
KC_MEDIA_PLAY_PAUSE  , KC_MPLY                          , Play Track                    
KC_MEDIA_SELECT      , KC_MSEL                          , Media Player                 
KC_MEDIA_EJECT       , KC_EJCT                          , Eject                               
KC_MAIL              ,                                  , Mail                         
KC_CALCULATOR        , KC_CALC                          , Calculator                   
KC_MY_COMPUTER       , KC_MYCM                          , My Computer                  
KC_WWW_SEARCH        , KC_WSCH                          , Bwsr Search                      
KC_WWW_HOME          , KC_WHOM                          , Bwsr Home                        
KC_WWW_BACK          , KC_WBAK                          , Bwsr Back                        
KC_WWW_FORWARD       , KC_WFWD                          , Bwsr Forward                     
KC_WWW_STOP          , KC_WSTP                          , Bwsr Stop                        
KC_WWW_REFRESH       , KC_WREF                          , Bwsr Refresh                     
KC_WWW_FAVORITES     , KC_WFAV                          , Bwsr Favorites                   
KC_MEDIA_FAST_FORWARD, KC_MFFD                          , Next Track                          
KC_MEDIA_REWIND      , KC_MRWD                          , Prev Track                      
KC_BRIGHTNESS_UP     , KC_BRIU                          , Brightness Up                       
KC_BRIGHTNESS_DOWN   , KC_BRID                          , Brightness Down                     
